model,split,R2,MAE,RMSE
Linear (Ridge),Val,0.27376532810031395,56.141786450913095,73.72289922252493
Linear (Ridge),Test,0.1502174316837982,58.08363865337207,86.72694725927393
DecisionTree,Val,-0.16732131460335076,70.63884665994453,93.46717662990432
DecisionTree,Test,0.10313707919512272,64.68928365480748,89.09702138179351
RandomForest,Val,0.26082940587760917,58.171861431297685,74.3765889658208
RandomForest,Test,0.43313340627786534,48.48436233590734,70.8338068261593
HistGBR,Val,0.2231042383037194,61.00253566607462,76.25095589399444
HistGBR,Test,0.4305513924279126,47.7710883785575,70.99494357331075
