MAE,RMSE,R2,store,fold
43.853566677639066,54.228774147754336,-1.2841762777531196,Astoria,1
73.49335361303636,84.04632706265264,-0.396992048826154,Astoria,2
47.847021716100855,64.44595006965731,-0.2502790814123097,Astoria,3
46.45666022628038,56.06515449993364,0.3283755977745022,Astoria,4
55.377171504699646,66.81074926776765,0.4110281032040429,Astoria,5
34.53053554582037,49.13752858222501,0.5340178141498696,Hell's Kitchen,1
48.60360432763448,70.57220741115911,0.41134950406786364,Hell's Kitchen,2
48.814298407552876,68.33546672672355,0.5048673662778123,Hell's Kitchen,3
47.30722282996219,60.57950147791007,0.20869262525167065,Hell's Kitchen,4
49.05966097414271,73.73940016048316,0.5890105749706389,Hell's Kitchen,5
40.155264668965565,56.95191268106803,0.39343503931459656,Lower Manhattan,1
43.68343479490384,58.21635279959772,0.4698756543770446,Lower Manhattan,2
39.305718236768904,56.86132599747758,0.6455391488830196,Lower Manhattan,3
49.07343094446479,63.94963237763507,0.4495573976146414,Lower Manhattan,4
29.824830487281094,40.04388613958083,0.7976671472991979,Lower Manhattan,5
